Transport ID;Container ID;Container Type;Forwarder;Trucking Time Start;Ground Handler 1;Airport 1;Ground Handler 2;Airport 2;Ground Handler 3;Airport 3;Ground Handler 4;Airport 4;Ground Handler 5;Airport 5;Trucking Time End
5715;000-10144;770C;;06.09.2013;;;;; ##; ##; ##; ##; ##; ##;06.09.2013
5716;000-10144;770C;;25.11.2013;;;;; ##; ##; ##; ##; ##; ##;25.11.2013
5717;000-10143;770C;;06.09.2013;;;;; ##; ##; ##; ##; ##; ##;06.09.2013
5718;000-10143;770C;;27.11.2013;;;;; ##; ##; ##; ##; ##; ##;27.11.2013
5719;000-10019;770C;;08.07.2013;;;;; ##; ##; ##; ##; ##; ##;08.07.2013
5720;000-10019;770C;;27.11.2013;;;;; ##; ##; ##; ##; ##; ##;27.11.2013
5721;000-10297;770C;;04.12.2013;;;;; ##; ##; ##; ##; ##; ##;04.12.2013
5722;000-10298;770C;;06.12.2013;;;;; ##; ##; ##; ##; ##; ##;06.12.2013
5723;000-10299;770C;;06.12.2013;;;;; ##; ##; ##; ##; ##; ##;06.12.2013
5724;000-10015;770C;;08.07.2013;;;;; ##; ##; ##; ##; ##; ##;08.07.2013
5725;000-10015;770C;;27.11.2013;;;;; ##; ##; ##; ##; ##; ##;27.11.2013
5726;000-10293;770C;;04.12.2013;;;;; ##; ##; ##; ##; ##; ##;04.12.2013
5727;000-10016;770C;;08.07.2013;;;;; ##; ##; ##; ##; ##; ##;08.07.2013
5728;000-10016;770C;;21.11.2013;;;;; ##; ##; ##; ##; ##; ##;21.11.2013
5729;000-10294;770C;;04.12.2013;;;;; ##; ##; ##; ##; ##; ##;04.12.2013
5730;000-10017;770C;;08.07.2013;;;;; ##; ##; ##; ##; ##; ##;08.07.2013
5731;000-10017;770C;;25.11.2013;;;;; ##; ##; ##; ##; ##; ##;25.11.2013
5732;000-10295;770C;;04.12.2013;;;;; ##; ##; ##; ##; ##; ##;04.12.2013
5733;000-10018;770C;;08.07.2013;;;;; ##; ##; ##; ##; ##; ##;08.07.2013
5734;000-10018;770C;;27.11.2013;;;;; ##; ##; ##; ##; ##; ##;27.11.2013
5735;000-10296;770C;;04.12.2013;;;;; ##; ##; ##; ##; ##; ##;04.12.2013
5736;000-10158;770C;;11.09.2013;;;;; ##; ##; ##; ##; ##; ##;11.09.2013
5737;000-10158;770C;;21.10.2013;;;;; ##; ##; ##; ##; ##; ##;21.10.2013
5738;000-10159;770C;;11.09.2013;;;;; ##; ##; ##; ##; ##; ##;11.09.2013
5739;000-10159;770C;;27.11.2013;;;;; ##; ##; ##; ##; ##; ##;27.11.2013
5740;000-10290;770C;;04.12.2013;;;;; ##; ##; ##; ##; ##; ##;04.12.2013
